X,Y,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Hoogte2,speed(km/h,tare(kg),workwidth(,yield(ton/,point_weig,tarecorrec,tarecorre2,SampleID
5.83382790560836,52.6620167545412,-6.57,13.232,28.583,32.42,46.702,-4,2.836,21,2.25,57.78,0.176,57.78,129.133,1
5.83390507937038,52.6619406089747,-6.46,11.566,26.923,31.616,48.944,-4,3.692,21,2.25,42.036,0.367,42.036,103.128,2
5.83398654068218,52.661860209379,-6.5,11.229,26.091,31.495,48.801,-4,5.018,21,2.25,36.516,0.85,36.516,113.091,3
5.8340602291715,52.6617874448793,-6.5,11.628,26.608,31.862,48.726,-4,5.812,21,2.25,47.099,0.965,47.099,112.331,4
5.83413782397563,52.6617109177753,-6.5,11.373,26.052,31.303,48.082,-4,6.056,21,2.25,41.248,1.538,41.248,109.942,5
5.83421542889478,52.6616343357486,-6.5,11.631,26.807,31.864,48.755,-4,6.226,21,2.25,46.753,1.518,46.753,112.022,6
5.83429295708975,52.6615578078204,-6.5,11.529,26.564,31.784,48.779,-4,6.369,21,2.25,39.992,1.652,39.992,116.522,7
5.83436531238758,52.6614864050526,-6.5,11.996,27.707,33.096,50.72,-4,6.367,21,2.25,37.685,1.842,37.685,110.323,8
5.83444811110764,52.6614046422868,-6.5,11.885,27.701,33.293,51.392,-4,6.331,21,2.25,40.599,1.517,40.599,123.604,9
5.83452570169501,52.6613281146092,-6.5,12.025,28.118,33.622,52.056,-4,6.391,21,2.25,43.616,1.638,43.616,110.416,10
5.83460094953612,52.6612538743231,-6.5,12.162,28.688,34.231,53.112,-4,6.392,21,2.25,47.883,1.655,47.883,119.792,11
5.83468090748587,52.6611749491739,-6.5,12.491,29.408,35.228,54.423,-4,6.39,21,2.25,47.17,1.832,47.17,102.855,12
5.83475853096449,52.6610983657677,-6.5,13.076,31.057,36.925,57.05,-4,6.405,21,2.25,44.357,2.013,44.357,114.185,13
5.8348361477276,52.6610218369345,-6.5,12.686,30.409,36.353,56.41,-4,6.406,21,2.25,33.013,1.789,33.013,130.993,14
5.83491367849336,52.6609452533273,-6.5,12.861,30.749,36.72,57.126,-4,6.405,21,2.25,41.376,1.738,41.376,87.044,15
5.83499134337005,52.6608687252094,-6.5,12.518,30.338,36.462,56.63,-4,6.403,21,2.25,37.095,1.355,37.095,117.085,16
5.83507255700445,52.6607885930286,-6.5,11.862,28.83,34.738,54.117,-4,6.411,21,2.25,33.258,1.393,33.258,132.105,17
5.8351465958328,52.660715557065,-6.5,11.259,26.743,32.548,50.775,-4,6.377,21,2.25,36.436,1.532,36.436,108.668,18
5.8352223318356,52.6606407705957,-6.5,11.037,26.093,31.378,48.671,-4,6.386,21,2.25,35.004,1.412,35.004,89.531,19
5.83529969571233,52.660564406989,-6.43,11.062,25.49,30.614,46.995,-4,6.394,21,2.25,33.544,1.323,33.544,133.367,20
5.83537932097386,52.6604858598835,-6.42,10.911,25.079,29.968,45.951,-4,6.394,21,2.25,32.258,1.32,32.258,114.298,21
5.8354569498486,52.6604092751469,-6.4,10.699,24.44,29.219,44.974,-4,6.38,21,2.25,31.5,1.39,31.5,93.297,22
5.83553914479226,52.6603282166751,-6.4,10.408,24.029,28.673,44.424,-4,6.393,21,2.25,37.938,1.155,37.938,116.527,23
5.83561215598117,52.6602561610268,-6.49,10.427,23.862,28.613,44.073,-4,6.379,21,2.25,37.559,1.225,37.559,142.016,24
5.83568976693839,52.6601795763071,-6.5,10.51,24.36,28.996,44.617,-4,6.37,21,2.25,41.39,1.589,41.39,106.272,25
5.83576738183923,52.6601029913611,-6.5,10.835,25.047,29.793,46.316,-4,6.386,21,2.25,41.612,1.531,41.612,106.754,26
5.83584500990404,52.6600264059742,-6.5,11.431,26.755,31.694,49.023,-4,6.427,21,2.25,33.284,1.597,33.284,148.218,27
5.83592801574954,52.6599444749463,-6.5,11.71,27.903,33.293,51.867,-4,6.242,21,2.25,43.5,1.585,43.5,113.078,28
5.83600021290293,52.6598732905844,-6.44,11.682,27.631,33.334,51.947,-4,3.903,21,2.25,11.932,1.784,11.932,120.01,29
5.83606956075114,52.6598048323255,-6.4,12.445,27.593,33.019,49.476,-4,2.801,21,2.25,1.258,1.739,1.258,95.422,30
5.83619455073494,52.6598514717152,-6.46,13.41,28.689,33.156,49.142,-4,3.437,21,2.25,1.841,1.801,1.841,18.606,31
5.83612521866513,52.6599198745177,-6.5,12.397,29.128,34.361,53.092,-4,4.948,21,2.25,13.52,2.234,13.52,26.401,32
5.836047607174,52.6599964597049,-6.5,12.054,28.264,33.697,52.019,-4,6.309,21,2.25,54.416,2.078,54.416,23.818,33
5.83597008561507,52.6600730447579,-6.5,11.839,27.434,32.468,49.86,-4,6.391,21,2.25,55.467,1.594,55.467,20.102,34
5.83589256405614,52.6601496296768,-6.5,11.346,25.79,30.637,46.955,-4,6.368,21,2.25,47.855,1.774,47.855,25.151,35
5.83581495256499,52.6602262144614,-6.5,11.084,25.051,29.676,45.3,-4,6.339,21,2.25,37.626,1.499,37.626,26.253,36
5.83573734107387,52.6603027991119,-6.47,11.115,25.074,29.586,45.137,-4,6.39,21,2.25,43.123,1.68,43.123,24.206,37
5.83565981951493,52.6603793836282,-6.4,11.611,26.115,30.657,46.331,-4,6.412,21,2.25,37.831,1.465,37.831,22.95,38
5.835582297956,52.6604559680103,-6.4,11.561,26.023,30.612,46.341,-4,6.405,21,2.25,40.324,1.659,40.324,26.027,39
5.83550468646485,52.6605325522582,-6.45,11.416,25.905,30.531,46.489,-4,6.391,21,2.25,38.17,1.573,38.17,20.766,40
5.83542707497372,52.6606091363719,-6.5,11.967,27.101,31.856,48.423,-4,6.384,21,2.25,40.464,1.717,40.464,23.835,41
5.83534955341479,52.6606857203515,-6.5,12.951,29.645,34.579,52.477,-4,6.393,21,2.25,41.83,1.786,41.83,26.497,42
5.83527203185586,52.6607623041969,-6.5,12.905,29.723,35.145,53.879,-4,6.335,21,2.25,43.591,1.752,43.591,21.209,43
5.83519451029692,52.660838887908,-6.5,13.884,32.4,38.052,58.037,-4,6.255,21,2.25,45.244,1.827,45.244,21.824,44
5.83511689880577,52.6609154714851,-6.5,14.395,33.358,39.241,59.823,-4,6.199,21,2.25,48.446,1.705,48.446,26.97,45
5.83503928731465,52.6609920549279,-6.51,14.21,32.963,38.919,59.418,-4,6.065,21,2.25,45.077,1.607,45.077,22.865,46
5.83496176575572,52.6610686382365,-6.54,13.07,30.532,36.672,56.68,-4,6.146,21,2.25,45.878,1.667,45.878,21.093,47
5.83488424419678,52.661145221411,-6.58,13.359,31.031,37.032,56.953,-4,5.828,21,2.25,36.219,1.157,36.219,24.519,48
5.83480663270563,52.6612218044513,-6.58,12.977,29.968,35.962,55.301,-4,6.386,21,2.25,36.192,1.718,36.192,23.599,49
5.83472902121451,52.6612983873574,-6.54,12.731,29.209,34.925,53.59,-4,6.402,21,2.25,41.621,2.063,41.621,23.235,50
5.83465149965558,52.6613749701293,-6.53,12.251,28.124,33.721,51.655,-4,6.402,21,2.25,46.487,2.015,46.487,19.733,51
5.83457397809664,52.661451552767,-6.53,12.213,27.99,33.505,51.358,-4,6.399,21,2.25,50.028,1.871,50.028,23.071,52
5.83449645653771,52.6615281352706,-6.52,12.516,28.427,33.763,51.262,-4,6.393,21,2.25,47.408,1.955,47.408,23.803,53
5.83441893497878,52.6616047176399,-6.5,11.887,27.115,32.365,49.217,-4,6.392,21,2.25,48.178,1.974,48.178,19.818,54
5.83434141341984,52.6616812998751,-6.5,12.042,27.324,32.355,49.087,-4,6.362,21,2.25,51.155,1.797,51.155,22.235,55
5.8342638918609,52.6617578819762,-6.5,11.709,26.536,31.869,48.627,-4,6.323,21,2.25,47.85,2.015,47.85,22.552,56
5.83418637030198,52.661834463943,-6.51,11.921,26.905,32.158,49.012,-4,6.305,21,2.25,48.067,1.675,48.067,24.088,57
5.83410884874304,52.6619110457756,-6.5,12.28,27.726,33.212,50.595,-4,5.839,21,2.25,52.67,1.272,52.67,19.305,58
5.83403132718411,52.6619876274741,-6.5,11.84,27.298,32.774,50.2,-4,4.301,21,2.25,51.067,0.639,51.067,22.684,59
5.83395381595894,52.6620641542428,-6.59,13.208,28.142,32.727,47.871,-4,3.681,21,2.25,47.173,0.878,47.173,39.863,60
5.83406087664043,52.6621575347609,-6.6,13.932,27.336,32.005,45.914,-4,2.34,21,1.802,36.58,1.678,36.58,49.92,60
5.83408016037029,52.662111281543,-6.58,12.336,27.439,32.2,48.525,-4,3.134,21,2.051,37.517,1.376,37.517,44.849,61
5.83415768192922,52.6620347000612,-6.5,12.126,27.719,33.111,50.843,-4,4.972,21,2.154,46.054,1.161,46.054,46.576,62
5.83423520348815,52.6619581184452,-6.55,12.537,28.132,33.606,51.328,-4,6.141,21,2.149,52.284,1.459,52.284,47.998,63
5.83431272504709,52.661881536695,-6.59,12.205,27.407,32.721,49.859,-4,6.381,21,2.149,53.338,1.756,53.338,45.013,64
5.83439024660603,52.6618049548107,-6.56,12.059,27.288,32.534,49.624,-4,6.414,21,2.154,48.667,1.924,48.667,46.124,65
5.83446776816496,52.6617283727921,-6.57,12.119,27.201,32.373,49.201,-4,6.405,21,2.165,47.201,1.939,47.201,47.336,66
5.83454528972389,52.6616517906394,-6.59,12.357,27.921,33.037,50.272,-4,6.438,21,2.185,47.134,1.86,47.134,45.983,67
5.83462281128283,52.6615752083525,-6.6,12.463,28.147,33.381,50.737,-4,6.379,21,2.129,49.795,1.785,49.795,47.46,68
5.83470033284176,52.6614986259314,-6.6,12.187,27.829,33.195,50.866,-4,6.435,21,2.171,47.095,1.916,47.095,47.226,69
5.83477785440069,52.6614220433762,-6.6,12.386,28.447,34.042,52.333,-4,6.41,21,2.153,47.938,1.862,47.938,46.084,70
5.83485537595963,52.6613454606868,-6.6,12.938,29.507,35.112,53.754,-4,6.41,21,2.143,50.113,1.772,50.113,47.516,71
5.83493298745075,52.6612688778631,-6.6,12.609,29.039,34.875,53.77,-4,6.415,21,2.105,45.964,1.715,45.964,47.033,72
5.8350105989419,52.6611922949053,-6.6,13.039,30.197,36.216,55.884,-4,6.403,21,2.203,48.371,1.874,48.371,45.326,73
5.83508812050083,52.6611157118134,-6.6,13.685,31.712,37.742,57.941,-4,6.399,21,2.153,42.832,1.86,42.832,47.136,74
5.83516564205977,52.6610391285872,-6.59,14.083,32.886,39.058,60.092,-4,6.407,21,2.063,53.202,1.777,53.202,46.653,75
5.83524325355089,52.6609625452268,-6.57,14.115,33.162,39.436,60.715,-4,6.405,21,2.138,45.404,1.705,45.404,47.91,76
5.83532086504204,52.6608859617323,-6.56,14.119,33.203,39.231,60.382,-4,6.401,21,2.178,47.349,1.853,47.349,46.208,77
5.83539838660097,52.6608093781036,-6.5,13.527,31.596,37.31,57.423,-4,6.421,21,2.142,42.134,1.776,42.134,46.18,78
5.83547590815991,52.6607327943407,-6.5,12.711,29.468,34.7,53.361,-4,6.444,21,2.112,43.328,1.589,43.328,49.607,79
5.83555342971885,52.6606562104436,-6.5,12.549,28.822,33.62,51.458,-4,6.398,21,2.149,42.988,1.635,42.988,46.975,80
5.83563104120996,52.6605796264124,-6.45,11.759,26.8,31.657,48.479,-4,6.428,21,2.174,35.474,1.542,35.474,44.505,81
5.83570865270112,52.6605030422469,-6.4,11.254,25.544,30.488,46.869,-4,6.417,21,2.152,40.266,1.547,40.266,47.009,82
5.83578617426005,52.6604264579473,-6.41,11.519,26.329,30.92,47.202,-4,6.413,21,2.145,33.818,1.456,33.818,48.24,83
5.83586369581899,52.6603498735135,-6.5,10.8,24.421,29.1,44.808,-4,6.408,21,2.149,46.905,1.568,46.905,46.516,84
5.83594130731011,52.6602732889455,-6.5,10.895,24.527,29.29,45.018,-4,6.386,21,2.184,46.683,1.691,46.683,46.533,85
5.83601891880126,52.6601967042433,-6.5,10.938,25.125,30.158,46.546,-4,6.404,21,2.155,54.384,1.826,54.384,47.871,86
5.83609644036019,52.6601201194069,-6.5,11.437,26.895,31.99,49.427,-4,6.329,21,2.164,53.601,1.543,53.601,47.294,87
5.83617396191913,52.6600435344364,-6.5,11.566,27.04,32.371,50.028,-4,5.931,21,2.116,43.108,1.484,43.108,45.341,88
5.83625157341025,52.6599669493317,-6.5,12.097,28.261,33.446,51.751,-4,4.241,21,2.135,27.775,1.277,27.775,47.88,89
5.83632091114319,52.6598985462848,-6.5,13.548,29.126,33.587,49.506,-4,3.404,21,2.213,27.65,1.565,27.65,42.08,90
5.83644726025567,52.6599456759881,-6.5,12.603,27.063,31.741,47.081,-4,2.473,21,2.25,69.821,0.514,69.821,31.748,91
5.83637792815538,52.660014024095,-6.5,11.743,26.881,31.801,48.728,-4,3.924,21,2.25,59.791,0.398,59.791,31.988,92
5.83630031666426,52.6600906091173,-6.5,11.58,26.557,31.445,48.25,-4,5.202,21,2.232,45.479,0.816,45.479,32.714,93
5.83622279510533,52.6601671940053,-6.5,11.497,26.511,31.258,48.065,-4,6.284,21,2.213,48.143,1.745,48.143,34.795,94
5.8361452735464,52.6602437787592,-6.5,11.307,25.645,30.36,46.489,-4,6.367,21,2.25,52.488,2.041,52.488,31.306,95
5.83606766205525,52.6603203633789,-6.5,11.053,25.045,29.689,45.554,-4,6.389,21,2.188,45.004,1.958,45.004,34.832,96
5.83599005056413,52.6603969478644,-6.49,10.936,24.912,29.747,45.882,-4,6.412,21,2.216,44.391,1.974,44.391,32.601,97
5.8359125290052,52.6604735322157,-6.42,11.211,25.747,30.719,47.277,-4,6.395,21,2.25,40.825,1.877,40.825,36.409,98
5.83583500744626,52.6605501164329,-6.4,11.334,26.107,31.247,48.103,-4,6.411,21,2.203,41.403,1.739,41.403,32.054,99
5.8357573959551,52.6606267005158,-6.48,11.63,27.037,32.408,50.193,-4,6.396,21,2.224,46.254,1.598,46.254,32.184,100
5.83567978446399,52.6607032844646,-6.5,12.239,28.601,34.019,52.752,-4,6.416,21,2.25,53.34,1.666,53.34,36.08,101
5.83560226290505,52.6607798682792,-6.5,12.489,29.389,35.171,54.641,-4,6.419,21,2.213,48.256,1.957,48.256,33.155,102
5.83552474134612,52.6608564519596,-6.57,13.802,32.595,38.758,59.757,-4,6.377,21,2.237,58.204,1.934,58.204,32.989,103
5.83544721978719,52.6609330355059,-6.6,14.283,33.662,39.875,61.425,-4,6.389,21,2.25,49.868,2.067,49.868,31.621,104
5.83536960829603,52.6610096189179,-6.58,14.13,33.341,39.687,61.099,-4,6.398,21,2.227,53.506,2.132,53.506,35.685,105
5.83529199680491,52.6610862021958,-6.59,13.628,31.967,38.178,59.277,-4,6.412,21,2.157,55.397,1.998,55.397,32.613,106
5.83521447524597,52.6611627853395,-6.6,13.39,31.35,37.417,57.83,-4,6.39,21,2.086,57.721,2.068,57.721,34.422,107
5.83513695368705,52.661239368349,-6.59,12.544,29.308,35.266,54.652,-4,6.392,21,2.22,52.851,2.081,52.851,35.567,108
5.83505935906703,52.6613159508174,-6.6,12.586,29.251,35.128,54.277,-4,6.395,21,2.25,56.348,2.095,56.348,32.658,109
5.83498180376583,52.6613925343724,-6.6,12.763,29.485,35.167,54.071,-4,6.39,21,2.193,49.08,2.076,49.08,37.553,110
5.83490420914584,52.6614691165724,-6.6,12.528,28.942,34.409,52.813,-4,6.417,21,2.228,52.212,2.197,52.212,35.094,111
5.8348266875869,52.6615456990452,-6.6,11.937,27.331,32.637,50.179,-4,6.382,21,2.25,53.546,2.194,53.546,32.149,112
5.83474916602797,52.6616222813838,-6.6,11.899,27.081,32.487,49.741,-4,6.38,21,2.215,53.231,2.084,53.231,35.754,113
5.83467164446903,52.6616988635882,-6.59,12.12,27.654,32.788,50.008,-4,6.414,21,2.175,52.536,2.181,52.536,38.475,114
5.8345941229101,52.6617754456585,-6.52,11.804,27.121,32.466,50.002,-4,6.425,21,2.25,52.177,2.189,52.177,31.744,115
5.83451660135117,52.6618520275945,-6.52,11.902,27.246,32.577,50.111,-4,6.383,21,2.22,53.396,2.118,53.396,36.2,116
5.83443907979223,52.6619286093964,-6.52,11.815,27.029,32.603,50.153,-4,6.362,21,2.21,53.374,2.053,53.374,35.949,117
5.8343615582333,52.6620051910641,-6.5,12.083,27.656,33.264,51.265,-4,6.367,21,2.241,53.134,1.964,53.134,35.108,118
5.83428403667436,52.6620817725976,-6.49,11.879,27.524,32.884,50.848,-4,5.457,21,2.25,38.798,2.301,38.798,31.832,119
5.83420651511543,52.6621583539969,-6.58,12.875,27.217,31.479,46.148,-4,3.115,21,2.183,23.845,2.019,23.845,35.057,120
5.83433286986055,52.6622054264001,-6.6,13.14,27.496,31.747,46.011,-4,3.368,21,2.25,5.439,1.844,5.439,32.588,121
5.83441039141948,52.6621288450833,-6.5,11.94,27.465,33.005,50.625,-4,5.49,21,2.25,25.436,2.218,25.436,49.884,122
5.83448791297842,52.6620522636323,-6.52,12.046,27.733,33.333,51.48,-4,6.337,21,2.25,50.001,2.013,50.001,27.089,123
5.83456543453735,52.661975682047,-6.58,11.944,27.229,32.77,50.483,-4,6.371,21,2.25,56.624,1.879,56.624,38.229,124
5.83464295609628,52.6618991003276,-6.59,12.092,27.512,32.985,50.567,-4,6.394,21,2.25,47.287,1.743,47.287,52.575,125
5.83472047765521,52.6618225184741,-6.58,12.352,28.084,33.379,51.089,-4,6.225,21,2.25,45.139,1.436,45.139,21.897,126
5.83479799921415,52.6617459364863,-6.59,11.916,27.151,32.574,50.08,-4,5.981,21,2.25,44.051,1.607,44.051,64.993,127
5.83487552077308,52.6616693543644,-6.59,11.876,27.286,32.744,50.373,-4,6.382,21,2.25,40.258,2.026,40.258,74.616,128
5.83495304233202,52.6615927721082,-6.6,12.617,28.969,34.527,52.784,-4,6.379,21,2.25,50.173,2.084,50.173,97.32,129
5.83503056389095,52.6615161897179,-6.6,12.574,29.369,35.135,54.045,-4,6.395,21,2.25,49.625,2.133,49.625,64.493,130
5.83510817538207,52.6614396071935,-6.6,12.888,30.068,35.97,55.433,-4,6.388,21,2.25,54.585,2.1,54.585,69.828,131
5.83518578687323,52.6613630245348,-6.6,13.318,30.923,36.797,56.653,-4,6.4,21,2.25,51.778,1.971,51.778,88.742,132
5.83526330843216,52.6612864417419,-6.59,13.266,30.875,37.022,56.971,-4,6.396,21,2.25,51.056,1.981,51.056,73.217,133
5.8353408299911,52.6612098588149,-6.6,13.399,31.403,37.717,58.156,-4,6.398,21,2.25,45.116,2.111,45.116,66.419,134
5.83541835155003,52.6611332757537,-6.57,13.967,32.864,39.244,60.624,-4,6.391,21,2.25,52.476,2.063,52.476,79.008,135
5.83549596304115,52.6610566925583,-6.59,14.388,33.922,40.371,62.066,-4,6.394,21,2.25,53.303,2.104,53.303,80.579,136
5.83557357453231,52.6609801092287,-6.6,14.372,33.642,39.722,60.971,-4,6.366,21,2.25,49.704,1.855,49.704,64.15,137
5.83565109609124,52.660903525765,-6.57,13.821,32.385,38.314,59.011,-4,6.403,21,2.25,49.644,1.931,49.644,75.346,138
5.83572861765017,52.660826942167,-6.5,13.456,31.327,36.87,56.66,-4,6.393,21,2.25,46.948,1.706,46.948,75.938,139
5.8358061392091,52.6607503584349,-6.5,12.693,29.447,34.847,53.576,-4,6.402,21,2.25,48.383,1.645,48.383,66.226,140
5.83588375070022,52.6606737745686,-6.5,12.179,28.397,33.899,52.26,-4,6.407,21,2.25,39.738,1.446,39.738,91.588,141
5.83596136219138,52.6605971905681,-6.46,11.75,27.482,32.763,50.761,-4,6.414,21,2.25,36.955,1.739,36.955,84.854,142
5.83603888375031,52.6605206064335,-6.41,11.802,27.202,32.195,49.393,-4,6.417,21,2.25,40.231,1.721,40.231,55.987,143
5.83611640530924,52.6604440221646,-6.49,11.326,25.906,30.88,47.552,-4,6.414,21,2.25,42.52,2.158,42.52,73.243,144
5.83619401680036,52.6603674377616,-6.5,11.404,26.139,30.828,47.257,-4,6.39,21,2.25,47.886,2.139,47.886,95.393,145
5.83627162829152,52.6602908532244,-6.5,11.374,25.983,30.654,46.831,-4,6.313,21,2.25,54.015,1.787,54.015,53.113,146
5.83634914985046,52.6602142685529,-6.5,11.272,25.534,30.242,46.306,-4,6.174,21,2.25,51.56,1.175,51.56,71.334,147
5.83642667140939,52.6601376837474,-6.5,11.558,26.043,30.565,46.537,-4,4.959,21,2.25,43.403,0.874,43.403,73.379,148
5.83650428290051,52.6600610988076,-6.45,11.327,25.589,29.949,45.568,-4,3.717,21,2.25,59.153,0.469,59.153,103.776,149
5.83657353995514,52.6599927499371,-6.5,12.256,27.004,30.826,45.946,-4,1.464,21,2.25,69.845,0.221,69.845,40.609,150
5.83669987985955,52.6600398800583,-6.49,12.044,24.963,28.617,41.626,-4,3.125,21,2.25,81.772,1.216,94.644,161.305,151
5.83663063764564,52.6601081734695,-6.42,10.696,23.991,27.996,42.435,-4,4.115,21,2.25,55.452,1.09,65.698,159.921,152
5.83655302615453,52.6601847583268,-6.5,10.658,24.157,28.479,43.42,-4,5.615,21,2.25,44.08,1.21,50.893,166.985,153
5.8364755045956,52.6602613430499,-6.5,10.698,24.438,28.912,44.402,-4,6.383,21,2.25,48.975,1.588,55.851,161.908,154
5.83639798303666,52.6603379276389,-6.5,10.618,24.462,29.136,45.014,-4,6.371,21,2.25,61.73,1.974,77.541,159.705,155
5.83632037154551,52.6604145120936,-6.5,10.754,24.842,29.84,46.201,-4,6.394,21,2.25,54.434,2.872,67.802,168.833,156
5.83624276005439,52.6604910964141,-6.5,11.103,25.789,30.904,47.789,-4,6.375,21,2.25,44.478,2.99,50.818,153.703,157
5.83616523849545,52.6605676806005,-6.42,11.766,27.611,32.792,50.961,-4,6.403,21,2.25,41.806,2.547,51.04,162.835,158
5.83608771693652,52.6606442646527,-6.45,11.892,28.045,33.617,52.192,-4,6.377,21,2.25,36.181,2.112,44.796,175.028,159
5.83601010544536,52.6607208485707,-6.5,12.204,28.593,34.069,52.656,-4,6.392,21,2.25,43.277,1.9,53.895,163.903,160
5.83593249395425,52.6607974323545,-6.5,12.283,28.784,34.464,53.223,-4,6.411,21,2.25,43.571,1.697,48.233,152.674,161
5.83585497239531,52.6608740160042,-6.5,12.384,29.165,34.992,54.27,-4,6.394,21,2.25,53.853,2.252,66.778,177.02,162
5.83577745083637,52.6609505995197,-6.5,12.841,30.264,36.202,56.206,-4,6.272,21,2.25,51.256,2.366,62.741,165.805,163
5.83569992927744,52.6610271829009,-6.56,13.673,32.34,38.438,59.351,-4,6.37,21,2.25,54.896,2.295,62.298,153.909,164
5.83562231778629,52.661103766148,-6.57,14.276,33.827,40.195,61.945,-4,6.22,21,2.25,54.379,2.606,65.517,161.469,165
5.83554470629517,52.6611803492609,-6.6,13.873,33.128,39.809,61.488,-4,6.13,21,2.25,54.338,2.501,69.78,182.729,166
5.83546718473624,52.6612569322397,-6.6,13.109,31.224,37.759,58.856,-4,6.331,21,2.25,55.365,2.457,63.494,164.347,167
5.83538966317731,52.6613335150842,-6.6,13.151,31.15,37.388,57.959,-4,6.346,21,2.25,50.962,2.577,63.222,148.582,168
5.83531214161837,52.6614100977946,-6.6,12.871,30.527,36.858,57.022,-4,6.31,21,2.25,58.02,2.641,67.719,164.655,169
5.83523453012721,52.6614866803708,-6.59,12.624,29.812,35.911,55.717,-4,6.377,21,2.25,52.449,2.255,60.391,176.054,170
5.83515691863609,52.6615632628128,-6.6,12.255,29.02,34.89,54.078,-4,6.394,21,2.25,55.469,2.65,65.934,165.343,171
5.83507939707716,52.6616398451206,-6.6,12.143,28.15,33.863,52.149,-4,6.39,21,2.25,52.316,2.601,63.548,156.158,172
5.83500187551822,52.6617164272943,-6.6,11.74,27.221,32.924,50.75,-4,6.3,21,2.25,52.689,2.577,62.392,169.88,173
5.83492435395929,52.6617930093337,-6.59,11.396,26.304,31.971,49.408,-4,6.305,21,2.25,52.46,2.449,62.107,169.022,174
5.83484683240036,52.661869591239,-6.58,11.422,26.182,31.758,48.98,-4,6.345,21,2.25,52.028,2.527,63.632,160.468,175
5.83476931084142,52.6619461730101,-6.6,11.597,26.702,32.052,49.543,-4,6.341,21,2.25,51.126,2.57,62.577,169.054,176
5.83469178928249,52.662022754647,-6.6,11.607,26.732,32.286,49.9,-4,6.17,21,2.25,40.201,2.236,46.226,165.823,177
5.83461426772356,52.6620993361498,-6.56,11.509,26.525,32.229,49.821,-4,5.852,21,2.25,57.509,2.18,70.835,163.713,178
5.83453674616462,52.6621759175183,-6.46,11.914,27.245,32.787,50.26,-4,5.474,21,2.25,33.278,2.573,41.907,171.702,179
5.83445922460569,52.6622524987527,-6.5,13.209,27.183,31.713,45.883,-4,3.394,21,2.25,6.43,2.238,9.421,172.422,180
5.83458557935081,52.6622995710545,-6.49,12.483,26.827,30.634,45.321,-4,3.455,21,2.25,3.368,1.496,3.325,179.676,181
5.83466310090975,52.6622229899026,-6.5,12.144,27.695,32.543,49.773,-4,6.1,21,2.062,26.676,1.991,26.676,179.52,182
5.83474062246868,52.6621464086165,-6.57,11.835,27.062,32.653,50.335,-4,6.311,21,2.18,53.168,1.923,53.113,183.626,183
5.83481814402761,52.6620698271963,-6.6,11.684,26.971,32.461,50.006,-4,6.37,21,2.101,54.377,1.87,54.447,181.4,184
5.83489566558654,52.6619932456418,-6.56,11.93,27.436,32.807,50.295,-4,6.393,21,2.102,48.605,1.914,48.408,177.548,185
